Clip,Escena,Duracion_s,Plano,Recurso,Emocion,Prompt_Imagen_Final,Prompt_Video_Final,Prompt_Negativo
154,41,8,detalle,reconstrucción,la orden,"Gran Muralla China, antigua China imperial historica. La mano del general chino bajando para liberar el gran cerrojo de la puerta, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro del cerrojo cediendo bajo su mano, punto de no retorno, tensión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
155,41,8,contrapicado,reconstrucción,lo impensable,"Gran Muralla China, antigua China imperial historica. Las colosales puertas de Shanhaiguan comenzando a abrirse desde adentro, luz entrando, polvo, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado de las puertas monumentales abriéndose lentamente, crujido y luz, momento histórico, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
156,41,8,texto en pantalla,animación,quiebre,"Gran Muralla China, antigua China imperial historica. Texto ""1644 · La puerta abierta"" sobre las puertas entreabiertas de la muralla, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece sobre las puertas abriéndose, gravedad del momento, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
157,42,8,contrapicado,reconstrucción,irrupción,"Gran Muralla China, antigua China imperial historica. Caballería manchú cruzando en masa las puertas abiertas de la muralla, polvo y estandartes, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado de la caballería manchú irrumpiendo por el paso en oleadas, polvo levantándose, impactante, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
158,42,8,travelling,reconstrucción,avance,"Gran Muralla China, antigua China imperial historica. Ejército manchú y tropas chinas de Wu Sangui avanzando juntos por el territorio chino, ultrarrealista, dinámico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral del ejército chino imperial combinado avanzando imparable, fuerza arrolladora, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
159,42,8,plano general,reconstrucción,choque,"Gran Muralla China, antigua China imperial historica. Choque entre la caballería manchú y el ejército rebelde en una llanura, caos de batalla, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino del choque de ejércitos, polvo y movimiento, batalla decisiva, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
160,42,8,vista aérea,reconstrucción,hacia Beijing,"Gran Muralla China, antigua China imperial historica. El ejército chino imperial victorioso avanzando hacia Beijing en el horizonte, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron siguiendo al ejército chino imperial que avanza hacia la capital, destino sellado, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
161,43,8,vista aérea,reconstrucción,contraste,"Gran Muralla China, antigua China imperial historica. La muralla intacta e imponente mientras un ejército chino imperial la cruza por una sola puerta abierta, atardecer rojizo, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vista aérea de la muralla intacta con el ejército chino imperial atravesándola por la puerta, luz del ocaso, solemne, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
162,43,8,detalle,reconstrucción,piedra intacta,"Gran Muralla China, antigua China imperial historica. Primer plano de la piedra firme y sin daños de la muralla, sólida tras siglos, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro deslizándose sobre la piedra intacta, solidez que contrasta con la derrota, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
163,43,8,plano general,reconstrucción,lo que no la venció,"Gran Muralla China, antigua China imperial historica. Ariete, escalas y cañones de bronce chinos antiguos abandonados e inútiles al pie del muro intacto, ultrarrealista, simbólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling sobre las armas de asedio abandonadas junto al muro indemne, ironía visual, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
164,43,8,contrapicado,reconstrucción,la puerta,"Gran Muralla China, antigua China imperial historica. La puerta abierta de la muralla como único punto de quiebre, luz atravesándola, ultrarrealista, simbólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado de la puerta abierta con luz derramándose, el único fallo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
165,43,8,texto en pantalla,animación,tesis,"Gran Muralla China, antigua China imperial historica. Texto ""La piedra resistió. La lealtad se quebró."" sobre la muralla en penumbra, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La frase aparece lentamente sobre el muro, peso de la verdad, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
166,44,8,contrapicado,reconstrucción,nueva dinastía,"Gran Muralla China, antigua China imperial historica. Emperador Qing entronizado con vestiduras imperiales amarillas y dragones, salón solemne, ultrarrealista, majestuoso. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado del emperador Qing en su trono, estandartes y dragones, nuevo poder, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
167,44,8,vista cenital,mapa / animación,imperio sin fronteras internas,"Gran Muralla China, antigua China imperial historica. Mapa donde el imperio Qing abarca ambos lados de la muralla en un solo color, la línea del muro ahora interna, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El color Qing cubre norte y sur del muro unificándolo todo, la muralla queda en medio, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
168,44,8,plano general,reconstrucción,sin sentido,"Gran Muralla China, antigua China imperial historica. La muralla en silencio sin soldados chinos, las puertas abiertas, gente cruzando libremente, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling por la muralla desguarnecida con civiles cruzando sin vigilancia, propósito perdido, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
169,44,8,primer plano,reconstrucción,quietud,"Gran Muralla China, antigua China imperial historica. Una almena vacía donde antes había un vigía, polvo acumulándose, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Push-in a la almena desierta con polvo asentándose, silencio, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
170,45,8,time-lapse,animación / ruinas,abandono,"Gran Muralla China, antigua China imperial historica. Tramo de muralla envejeciendo con maleza creciendo entre los ladrillos a lo largo de las estaciones, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Time-lapse de la muralla cubriéndose de maleza y desgaste, estaciones pasando, melancólico, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
171,45,8,detalle,ruinas,erosión,"Gran Muralla China, antigua China imperial historica. Ladrillos sueltos y juntas erosionadas por la lluvia y el viento, musgo, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro de la lluvia golpeando los ladrillos erosionados, agua escurriendo, paso del tiempo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
172,45,8,plano general,ruinas,bestia dormida,"Gran Muralla China, antigua China imperial historica. Tramo de muralla derruido y cubierto de vegetación serpenteando por montañas brumosas, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling aéreo sobre el muro en ruinas devorado por la naturaleza, niebla, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
173,45,8,primer plano,ruinas,olvido,"Gran Muralla China, antigua China imperial historica. Una torre derruida con un árbol creciendo en su interior, silencio, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Push-in a la torre en ruinas con el árbol brotando dentro, naturaleza recuperando la piedra, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
174,46,8,vista aérea,imagen / reconstrucción,renacer,"Gran Muralla China, antigua China imperial historica. Gran Muralla restaurada al amanecer serpenteando hasta el horizonte, niebla dorada, ultrarrealista, majestuoso, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron amplio sobre la muralla al amanecer, niebla dorada disipándose, escala monumental, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
175,46,8,plano general,imagen,unión,"Gran Muralla China, antigua China imperial historica. Visitantes de todo el mundo caminando sobre la muralla restaurada, día despejado, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling entre los visitantes sobre la muralla, vida y asombro en sus rostros, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
176,46,8,detalle,detalle arqueológico,conexión,"Gran Muralla China, antigua China imperial historica. Una mano contemporánea tocando la piedra antigua de la muralla, ultrarrealista, emotivo. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Push-in a la mano sobre la piedra milenaria, conexión a través del tiempo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
177,46,8,texto en pantalla,animación,legado,"Gran Muralla China, antigua China imperial historica. Texto ""Patrimonio de la Humanidad · 1987 · +20.000 km"" sobre la muralla al amanecer, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece con destello dorado sobre la muralla, orgullo, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
